input;input_size_kb;avif_output;avif_size_kb;avif_saving_kb;avif_saving_percent;webp_output;webp_size_kb;webp_saving_kb;webp_saving_percent
C:\MyTrainingPlace\website-hotel-roessle\images\freizeit\donauwellen_big.jpg;252.7;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\donauwellen_big.avif;39.4;213.3;84.41;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\freizeit\donauwellen_big.webp;25.2;227.5;90.03
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\wohnen_roessle1.jpg;299.7;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle1.avif;30.9;268.8;89.69;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle1.webp;30.02;269.69;89.98
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\wohnen_roessle2.jpg;259.73;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle2.avif;29.2;230.52;88.76;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle2.webp;24.79;234.93;90.45
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\wohnen_roessle4.jpg;273.8;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle4.avif;27.53;246.28;89.95;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle4.webp;24.55;249.25;91.03
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\wohnen_roessle_5.jpg;247.3;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle_5.avif;21.88;225.42;91.15;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\wohnen_roessle_5.webp;17.55;229.75;92.9
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\Zimmer_DZ_small.jpg;58.05;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_DZ_small.avif;16.98;41.08;70.76;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_DZ_small.webp;5.57;52.48;90.4
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\Zimmer_EZ_small.jpg;62.08;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_EZ_small.avif;15.24;46.84;75.45;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_EZ_small.webp;4.99;57.09;91.97
C:\MyTrainingPlace\website-hotel-roessle\images\zimmer\Zimmer_FZ_small.jpg;68.24;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_FZ_small.avif;18.4;49.85;73.04;C:\MyTrainingPlace\website-hotel-roessle\images\optimized\zimmer\Zimmer_FZ_small.webp;6.7;61.54;90.18
;;;;;;;;;
GESAMT;6482.88;;;5382.08;83.02;;;5572.71;85.96
